Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
b-85,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bsk 3rd stg,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru-85,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bsk 3rd stg,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru-85,Industrial,Evening,Low,No,No,Outer,Low,Unsafe
bengluru-85,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengluru-85,Industrial,Night,Low,No,No,Outer,Low,Unsafe
c.t.bed,Industrial,Evening,Low,No,No,Outer,Low,Unsafe
bangalore-28.,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
banglore-85.,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bangalore-85.,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
south end road basavanagudi,Industrial,Night,Low,No,No,Outer,Low,Unsafe
10th a main 3rd block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
basavanagudi,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
11th main 4th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
30th cross 4th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
shakambarinagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
shakambaringara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
3rd block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 5th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
6th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagar,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
4th t block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
8th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
8th block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
6th block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
unknown,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
j.p.nagara 1st phase,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
4th block jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
4th block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th t block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
kanakapura main road,Industrial,Night,Low,No,No,Outer,Low,Unsafe
4th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
4th t block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th block jayanagara,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
8th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 4th t. block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 6th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
shakambarinagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
south end circle jayanagara 3rd block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 3rd block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 4th t block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
unknown,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
j p nagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 3rd block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
6th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 3rd block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
j.p nagar 7th phase,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 6th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 4th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 5th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 7th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 8th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
7th block jayanagara,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
5th block jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 3rd blockm,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 3rd block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
banashankari,Industrial,Night,Low,No,No,Outer,Low,Unsafe
5th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
shakambari nagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
5th block jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 3rd block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
shakambari nagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
4th t block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 5th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 8th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jpnagara 1st phase,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 8th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara 7th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 3rd block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 4th t block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
6th block jayanagar,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
south end road basavanagudi,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 4th t block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
9th main jayanagara 3rd block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 5th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
j p nagar 1st phase,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagara 4th block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara.jayanagar 4th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 8th block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 7th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 5th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 4th t block,Industrial,Night,Low,No,No,Outer,Low,Unsafe
bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 7th block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
4th block jayanagara bengaluru,Industrial,Night,Low,No,No,Outer,Low,Unsafe
8th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
south end road.jayanagara 6th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
super market 8th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
kanakapura road jayanagar 8th blcok,Industrial,Night,Low,No,No,Outer,Low,Unsafe
jayanagar 4th block,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagr,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
8th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
3rd block jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
4th block jayanagar,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
jayanagara 5th block,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
5th block jayanagar,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagara,Industrial,Night,Low,No,No,Outer,Low,Unsafe
3rd block jayanagar,Industrial,Night,Low,No,No,Outer,Low,Unsafe
bengaluru city,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru,Industrial,Night,Low,No,No,Outer,Low,Unsafe
bengaluru,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru city,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru city,Industrial,Night,Low,No,No,Outer,Low,Unsafe
bengaluru cit,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
jayanagar 8th block bengaluru,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengalu,Industrial,Morning,Low,No,No,Outer,Low,Unsafe
bengalore.,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengalore,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"market
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"butter sponge vanivilas
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazar
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazar main
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"mnk road near metro
bridge basavanagudi
bengaluru city
karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"lalbagh west ge
basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"opp
miradelicasy hotel.
basavanagudi bengaluru
city karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"sc road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"opp no22 narth public
school road near post
office basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"06/04/2015
02/04/2015
infront of bms
hospita
basavanagudi
bengaluru city
karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"krishna rao park
kanakapura road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"dvg
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"v v
road basavamagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"m.d block
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"m n krishna rao park
main ge basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"divan madava
rao basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"vanivillas road
basavanagudi p s
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"in front of aps
commerce college n r
colony bengaluru city
karnaka 560019",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"n r
colony bengaluru city
karnaka 560019",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"r v road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near
bms woman college
basavanagudi bengaluru
city karnaka 56000",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"chamarajpet
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"charch
street basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"rhnavilas road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near lalbagh
west ge
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"in front of benne
govindappa choultry
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"puttanna road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"puttanna road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"khazi street
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"b t
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"dvg road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"masque road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"m d block
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"conserveny road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"west
anjaneya temple street
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"r v
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"k r
road basavanagudi
bengaluru city
karnaka 5600",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"d v g road
basavanagudi bengaluru
city karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazaar
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazaar main
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"north road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near lal bagh west
junction basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"k r
road basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near lalbagh west ge
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"w
road basavavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near the main entrance
of krishnarao park
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near bugle rock park
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"m.n.k rao road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"netkalappa circle
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"shop street
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"old kanakapura road
near s r s petrol bunk
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"opp house no 18.
surveyor street
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"opp shivasagar
hotel gandhibazar
main road
basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanagudi
bengaluru city
karnaka 56000",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"m.n.k.r road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near
tagore circle
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"nional college parking
place basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazar main
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"k.r road app cool
corner hotel
basavangudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"dvg road
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavangudi
basavanagudi bengaluru
city karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazar
main road. basavangudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"n.r colony hhfhfh
basavangudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"krishana rao park
south cross road
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"n.r
colony basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"bsavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"no 64/1 k r road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near
sayibaba temp
tyagarajanagar
bengaluru city
karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanagudi bengaluru
city karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"gandhi bazar main road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"vani vilas road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"behind mysore
bank basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"in front of
sri sai gold palace
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"n.r colony basavangudi
bengaluru city
karnak",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"soth end
road basavanagudi
bengaluru city
karnaka",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"armugam
circle basavanagudi
bengaluru city
karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"near ktebalaga
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
"srihari mansion 26/1
d.v.g road
basavanagudi bengaluru
city karnaka 560004",Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
no-02(2/1)rajh nilaya apment basavanagudi bengaluru city karnaka 56,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 560,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 560004,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
pp house no- 74 south end road basavanagudi bengaluru city,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 56,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
near keb quarters bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
no 77/19 rhnavilas road basavanagudi bengaluru city karnaka,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
b.t road basavanagudi bengaluru city karnaka 560004,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
infrnt of house no-28/2 khazi stre m.d block basavanagudi bengaluru city karnaka 560004,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
infront of sri dharmastal kalyan mantap b t road basavanagudi bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
b.t road basavanagudi bengaluru city karnaka 56000,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
near ramandhir chowtry basavanagudi bengaluru,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru city karnaka 560004,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
n r colony n r colony bengaluru city karnaka 560019,Industrial,Afternoon,Low,No,No,Outer,Low,Unsafe
bsavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp east west school basavanagudi bengaluru city karnak,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp no-125. n.b.s mani store. govindappa road basavanagudi bengaluru city karnak,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp house no-2/c puttanna road basavanagudi bengaluru city karnaka,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
gandhi bazar main road basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
oppo udupi krishan bhavan gandhi bazar main road basavanagudi bengaluru,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
thygarajangar thygarajangar bengaluru city karnaka,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
3rd block tyagarajanagar bengaluru city karnaka 560028,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
"basavanag
udi bengaluru city karnaka 560004",Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
r.v road basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp house no 80/1 6th main 4th cross tyagarajanagar bengaluru city,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
iinfornt of the time pass hotel basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
beside of south end bar & restorant kanakapura road bengaluru city,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
mnk road basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
near esi hospital gandhibazar main basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
kanakapura road basavangudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 560,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
r.v road basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
vasavi circle bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
raghavendrswami mt gandhibazar main road basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
thygarajnagar bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
bengaluru,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
unknown,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp house no 77/2 2nd main 5th cross t r nagar bengaluru city karnaka 56002,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
opp house no 61/01. ram mandir road basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka 5600,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
sbi bank basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
2nd main ta silk farm basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
no 25. khazi street basavanagudi bengaluru city karnaka 5600,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basvanagudi bengaluru city,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
market road basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
surveyour street basavanagudi bengaluru city karnak,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
lalbagh metro stion basavanagudi bengaluru city karnaka 560004,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
near krishnarao park ge basavanagudi bengaluru city karn,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
e street basavanagudi bengaluru,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karnaka,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
parking place basavanagudi bengaluru city karnaka 5600,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
off krishnarao park basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
off krishnarao park near basavanagudi ps bengaluru city karnaka,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
5th cross 5th main t r nagar bengaluru city karnaka 56,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
near tagore circle basavanagudi bengaluru city karna,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
s kariyappa road basavanagudi bengaluru city karnak,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
near dodda ganaphi temple basavanagudi bengaluru city karnaka 56000,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
basavanagudi bengaluru city karn,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
560041,Mixed,Night,Low,No,No,Outer,Low,Unsafe
560078,Mixed,Night,Low,No,No,Outer,Low,Unsafe
560078,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
560069,Mixed,Night,Low,No,No,Outer,Low,Unsafe
560076,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
560076,Mixed,Night,Low,No,No,Outer,Low,Unsafe
560078,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
56007,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
560076,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
unknown,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
karnaka,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
karnaka,Mixed,Afternoon,Low,No,No,Outer,Low,Unsafe
karnaka,Mixed,Night,Low,No,No,Outer,Low,Unsafe
unknown,Mixed,Night,Low,No,No,Outer,Low,Unsafe
560070,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
karnaka-560078,Mixed,Morning,Low,No,No,Outer,Low,Unsafe
"560078
karnaka-560078",Mixed,Night,Low,No,No,Outer,Low,Unsafe
